round,remaining,ES,val,test
1,100.0,19250,83.2,83.09
2,70.0,13500,83.26,82.33
3,49.0,29250,84.42,82.56
4,34.3,18750,82.94,81.5
5,24.01,36000,82.88,80.78
6,16.81,36750,82.3,80.28
7,11.77,38250,80.96,80.96
8,8.24,40000,79.34,78.6
9,5.77,38250,76.72,74.2
10,4.04,36750,74.62,70.81
11,2.83,36000,70.0,68.21
12,1.98,37500,68.38,65.43
13,1.38,40000,51.46,51.9
14,0.97,39000,59.12,51.78
15,0.68,37500,47.34,48.43
16,0.48,39000,36.9,38.64
