round,remaining,ES,val,test
1,100.0,19250,83.2,83.09
2,70.0,22500,83.18,84.57
3,49.0,27750,85.4,85.73
4,34.3,27000,85.3,85.94
5,24.01,35250,85.38,86.3
6,16.81,27750,83.82,85.25
7,11.77,36000,84.08,84.4
8,8.24,31500,82.26,82.85
9,5.77,39750,79.76,80.44
10,4.04,39750,77.42,78.85
11,2.83,39750,73.66,74.81
12,1.98,38250,67.16,70.22
13,1.38,40000,60.96,64.22
14,0.97,39750,57.38,58.16
15,0.68,33000,50.76,52.16
16,0.48,39750,10.14,10.0
