round,remaining,ES,val,test
1,100.0,19250,83.2,83.09
2,70.0,32250,84.24,84.16
3,49.0,18000,84.06,84.51
4,34.3,27000,85.18,84.99
5,24.01,36750,84.86,84.73
6,16.81,27750,82.84,84.48
7,11.77,39000,82.0,82.8
8,8.24,38250,79.9,80.62
9,5.77,39750,76.22,77.15
10,4.04,39750,71.68,73.38
11,2.83,39000,66.68,69.29
12,1.98,40000,63.2,65.59
13,1.38,24000,10.64,10.0
14,0.97,38250,10.64,10.0
15,0.68,23250,10.0,10.0
16,0.48,39750,10.28,10.0
