round,remaining,ES,val,test
1,100.0,5502,88.1,88.4
2,70.0,8253,89.12,89.02
3,49.0,7336,88.94,88.4
4,34.3,3668,88.56,88.69
5,24.01,5502,88.28,88.75
6,16.81,6419,88.92,88.13
7,11.77,7336,88.84,87.93
8,8.24,9170,88.92,87.72
9,5.77,8253,87.94,87.34
10,4.04,16506,88.42,87.63
11,2.83,23842,87.72,87.01
12,1.98,37597,76.2,75.58
13,1.39,35763,74.78,74.6
14,0.97,40000,62.58,61.96
15,0.68,37597,55.5,56.36
16,0.48,27510,37.78,38.63
