round,remaining,ES,val,test
1,100.0,5502,88.44,89.0
2,70.0,6419,89.1,88.06
3,49.0,5502,89.04,88.87
4,34.3,4585,88.28,88.76
5,24.01,7336,88.76,88.15
6,16.81,11921,89.24,87.38
7,11.77,10087,88.8,87.66
8,8.24,10087,88.14,87.19
9,5.77,22925,87.52,87.33
10,4.04,21091,86.94,86.36
11,2.83,39431,84.78,84.45
12,1.98,39431,71.6,70.71
13,1.39,40000,70.22,70.0
14,0.97,33929,34.2,34.91
15,0.68,34846,18.08,24.97
16,0.48,23842,10.96,10.0
