round,remaining,ES,val,test
1,100.0,6419,88.62,89.23
2,70.0,4585,89.56,88.53
3,49.0,2751,89.41,88.58
4,34.3,5502,89.2,89.2
5,24.01,5502,89.62,89.2
6,16.81,4585,89.5,88.88
7,11.77,5502,89.46,88.9
8,8.24,4585,89.52,88.33
9,5.77,6419,89.16,88.28
10,4.04,10087,88.72,88.15
11,2.83,8253,88.1,87.64
12,1.98,11004,84.26,83.02
13,1.39,11921,56.54,57.53
14,0.97,15589,47.56,48.19
15,0.68,13755,40.22,38.21
16,0.48,14672,39.18,35.01
