round,remaining,ES,val,test
1,100.0,3668,98.58,98.79
2,70.0,11921,98.7,98.89
3,49.0,11004,98.68,98.87
4,34.31,10087,98.36,98.6
5,24.02,10087,98.44,98.64
6,16.82,21091,98.28,98.03
7,11.78,34846,97.88,97.49
8,8.25,37597,97.42,97.5
9,5.78,40000,96.0,95.98
10,4.05,14672,11.1,11.35
11,2.84,39431,88.64,89.43
12,1.99,40000,59.68,60.72
13,1.4,35763,48.76,48.81
14,0.99,38514,40.5,41.25
15,0.7,38514,23.02,23.68
16,0.49,32095,18.26,18.59
