round,remaining,ES,val,test
1,100.0,7336,98.76,98.92
2,70.0,11004,98.78,99.06
3,49.0,5502,98.42,98.68
4,34.31,10087,98.7,98.63
5,24.02,11921,98.3,98.29
6,16.82,9170,97.82,98.34
7,11.78,19257,97.6,97.97
8,8.25,21091,97.26,96.94
9,5.78,38514,96.16,96.52
10,4.05,37597,93.12,94.04
11,2.84,38514,59.56,60.51
12,1.99,36680,39.58,45.53
13,1.4,33929,19.74,21.16
14,0.99,14672,11.04,11.35
15,0.7,22925,11.04,11.35
16,0.49,19257,11.04,11.35
