round,remaining,ES,val,test
1,100.0,6419,98.56,98.4
2,70.0,6419,98.68,98.72
3,49.0,2751,98.82,99.16
4,34.31,1834,98.7,99.09
5,24.02,7336,98.9,98.87
6,16.82,3668,98.86,98.98
7,11.78,5502,98.66,98.66
8,8.25,6419,98.26,98.28
9,5.78,18340,97.9,97.98
10,4.05,16506,97.12,97.39
11,2.84,38514,94.68,95.51
12,1.99,40000,93.14,94.31
13,1.4,38514,58.02,57.53
14,0.99,35763,57.4,56.95
15,0.7,36680,43.54,47.63
16,0.49,26593,38.6,39.4
