round,remaining,ES,val,test
1,100.0,2751,97.28,98.04
2,70.0,1834,97.61,98.03
3,49.0,4585,97.86,98.15
4,34.3,3668,98.06,98.09
5,24.01,3668,98.06,98.35
6,16.81,3668,97.88,98.38
7,11.77,1834,97.9,98.31
8,8.24,3668,97.82,98.09
9,5.77,5502,97.66,97.79
10,4.04,7336,97.44,97.92
11,2.83,9170,97.04,97.05
12,1.98,8253,96.44,96.3
13,1.39,9170,57.3,58.16
14,0.97,11004,57.0,57.99
15,0.68,11921,56.82,57.76
16,0.48,9170,37.88,38.79
