round,remaining,ES,val,test
1,100.0,2751,97.28,98.04
2,70.0,2751,97.1,97.82
3,49.0,4585,97.74,97.84
4,34.3,5502,97.58,98.11
5,24.01,5502,97.58,98.02
6,16.81,4585,97.36,97.67
7,11.77,7336,97.38,97.67
8,8.24,5502,97.18,97.73
9,5.77,11004,96.98,97.25
10,4.04,11004,96.58,96.74
11,2.83,19257,95.96,96.07
12,1.98,26593,76.24,76.55
13,1.39,37597,65.16,66.11
14,0.97,39431,53.42,53.84
15,0.68,30261,46.46,46.79
16,0.48,39431,30.9,30.83
