round,remaining,ES,val,test
1,100.0,6419,88.8,88.41
2,70.0,6419,90.0,88.7
3,49.0,8253,89.5,88.92
4,34.31,9170,89.68,88.4
5,24.02,11004,89.46,88.54
6,16.82,16506,89.12,89.1
7,11.78,20174,88.8,89.06
8,8.25,36680,89.28,88.92
9,5.78,39431,87.76,88.37
10,4.05,39431,86.44,86.25
11,2.84,35763,83.08,83.13
12,1.99,38514,73.94,74.77
13,1.4,33929,69.64,70.9
14,0.99,40000,62.94,64.58
15,0.7,39431,53.58,54.62
16,0.49,38514,40.3,41.26
