round,remaining,ES,val,test
1,100.0,7336,89.22,88.35
2,70.0,9170,88.98,88.59
3,49.0,10087,89.18,88.65
4,34.31,11921,88.7,88.21
5,24.02,21091,88.5,88.81
6,16.82,29344,88.78,88.34
7,11.78,39431,87.1,87.11
8,8.25,34846,85.82,85.31
9,5.78,38514,84.32,84.29
10,4.05,36680,80.88,80.54
11,2.84,33929,76.6,76.38
12,1.99,39431,69.22,68.57
13,1.4,36680,60.88,60.23
14,0.99,40000,53.76,53.09
15,0.7,40000,36.44,36.37
16,0.49,39431,33.78,35.3
