round,remaining,ES,val,test
1,100.0,9170,89.44,87.88
2,70.0,10087,88.84,88.37
3,49.0,10087,88.7,87.93
4,34.31,13755,88.54,88.45
5,24.02,33012,89.12,88.42
6,16.82,24759,88.22,88.07
7,11.78,37597,87.0,86.67
8,8.25,39431,85.96,86.07
9,5.78,35763,83.92,84.27
10,4.05,40000,62.5,63.02
11,2.84,40000,53.9,54.21
12,1.99,36680,34.88,30.86
13,1.4,22925,9.84,10.0
14,0.99,34846,10.54,10.0
15,0.7,39431,10.2,10.0
16,0.49,917,10.18,10.0
